fecha,casos_acumulados,estimado,tipo,modelo,fecha_estimacion
2020-04-05,61932,CoronaMex,simulacion,m4,2020-05-05
2020-04-06,67665,CoronaMex,simulacion,m4,2020-05-05
2020-04-07,73877,CoronaMex,simulacion,m4,2020-05-05
2020-04-08,80608,CoronaMex,simulacion,m4,2020-05-05
2020-04-09,87901,CoronaMex,simulacion,m4,2020-05-05
2020-04-10,95804,CoronaMex,simulacion,m4,2020-05-05
2020-04-11,104364,CoronaMex,simulacion,m4,2020-05-05
2020-04-12,113350,CoronaMex,simulacion,m4,2020-05-05
2020-04-13,122561,CoronaMex,simulacion,m4,2020-05-05
2020-04-14,132067,CoronaMex,simulacion,m4,2020-05-05
2020-04-15,141918,CoronaMex,simulacion,m4,2020-05-05
2020-04-16,152147,CoronaMex,simulacion,m4,2020-05-05
2020-04-17,162779,CoronaMex,simulacion,m4,2020-05-05
2020-04-18,173836,CoronaMex,simulacion,m4,2020-05-05
2020-04-19,185337,CoronaMex,simulacion,m4,2020-05-05
2020-04-20,197302,CoronaMex,simulacion,m4,2020-05-05
2020-04-21,209750,CoronaMex,simulacion,m4,2020-05-05
2020-04-22,222702,CoronaMex,simulacion,m4,2020-05-05
2020-04-23,236177,CoronaMex,simulacion,m4,2020-05-05
2020-04-24,250196,CoronaMex,simulacion,m4,2020-05-05
2020-04-25,264782,CoronaMex,simulacion,m4,2020-05-05
